City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Naberera,TZ,-4.2,36.9333,61.03,82,4,7.96,clear sky
79,Lerwick,GB,60.1545,-1.1494,41.0,69,7,7.74,clear sky
80,Lorengau,PG,-2.0226,147.2712,82.85,68,100,11.23,overcast clouds
81,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,88,40,18.41,scattered clouds
82,Hofn,IS,64.2539,-15.2082,44.24,64,8,1.63,clear sky
83,Susangerd,IR,31.5608,48.1831,84.81,16,54,5.93,broken clouds
84,Georgetown,MY,5.4112,100.3354,80.53,90,20,0.0,light rain
85,Aksarka,RU,66.5606,67.7975,38.93,97,100,11.77,overcast clouds
86,Beloha,MG,-25.1667,45.05,68.72,79,12,16.33,few clouds
87,Husavik,IS,66.0449,-17.3389,35.85,79,99,11.16,overcast clouds
88,Mangai,CD,-4.05,19.5333,69.49,95,100,1.9,overcast clouds
89,Okha,RU,53.5739,142.9478,33.15,64,99,19.66,overcast clouds
90,Copiapo,CL,-27.3667,-70.3333,56.89,29,0,7.81,clear sky
91,New Norfolk,AU,-42.7826,147.0587,54.57,62,74,1.01,broken clouds
92,Hithadhoo,MV,-0.6,73.0833,80.91,71,100,7.9,overcast clouds
93,Sopelana,ES,43.3789,-2.9831,76.78,63,0,10.36,clear sky
94,Auki,SB,-8.7676,160.7034,82.18,75,34,4.03,scattered clouds
95,Nikolskoye,RU,59.7035,30.7861,44.49,91,100,5.57,light rain
96,Poum,NC,-20.2333,164.0167,76.37,76,12,9.46,few clouds
97,Kelheim,DE,48.9167,11.8667,58.89,92,18,3.85,few clouds
98,Kohlu,PK,29.8962,69.252,66.6,24,16,3.27,few clouds
99,Sao Filipe,CV,14.8961,-24.4956,80.73,80,47,6.51,light rain
100,Iskateley,RU,67.6803,53.1512,39.56,96,100,19.15,light rain
101,Butaritari,KI,3.0707,172.7902,81.66,74,84,16.17,broken clouds
102,Tiznit,MA,29.5833,-9.5,80.37,26,3,6.76,clear sky
103,Ribeira Grande,PT,38.5167,-28.7,62.78,60,100,8.01,overcast clouds
104,Ahipara,NZ,-35.1667,173.1667,58.78,68,48,13.33,scattered clouds
105,Zuwarah,LY,32.9312,12.082,72.55,59,0,7.05,clear sky
106,Tromso,NO,69.6496,18.957,37.42,87,100,10.36,overcast clouds
107,Sumbawanga,TZ,-7.9667,31.6167,65.39,50,74,4.79,broken clouds
108,Pafos,CY,34.7667,32.4167,71.38,73,20,8.05,few clouds
109,Saint-Philippe,RE,-21.3585,55.7679,67.59,78,56,9.26,broken clouds
110,Plettenberg Bay,ZA,-34.0527,23.3716,63.73,94,56,1.63,broken clouds
111,Sapa,PH,5.1544,120.3241,80.55,78,100,2.21,overcast clouds
112,Strezhevoy,RU,60.7333,77.5889,35.65,92,73,7.83,broken clouds
113,Busselton,AU,-33.65,115.3333,53.53,86,4,8.84,clear sky
114,Dikson,RU,73.5069,80.5464,28.54,83,100,13.13,overcast clouds
115,Serenje,ZM,-13.2325,30.2352,66.9,33,76,7.2,broken clouds
116,Margate,GB,51.3813,1.3862,58.89,80,100,5.01,overcast clouds
117,Brae,GB,60.3964,-1.353,43.65,70,16,7.58,few clouds
118,Lompoc,US,34.6391,-120.4579,78.58,56,0,12.66,clear sky
119,Cockburn Town,TC,21.4612,-71.1419,82.98,73,0,10.0,clear sky
120,Ponta Do Sol,PT,32.6667,-17.1,74.01,74,91,9.06,overcast clouds
121,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,61,100,16.24,overcast clouds
122,Srivardhan,IN,18.0333,73.0167,77.0,90,99,4.72,overcast clouds
123,Tasiilaq,GL,65.6145,-37.6368,35.76,88,100,3.44,overcast clouds
124,Pau Brasil,BR,-15.4642,-39.6511,74.07,68,87,7.63,overcast clouds
125,Ekhabi,RU,53.5102,142.9671,32.68,65,100,18.28,overcast clouds
126,Chirongui,YT,-12.9319,45.1483,75.13,75,1,10.09,clear sky
127,Roald,NO,62.5833,6.1333,46.76,87,40,2.3,light rain
128,Kaitangata,NZ,-46.2817,169.8464,49.15,57,69,8.57,light rain
129,Mongoumba,CF,3.6415,18.5936,71.73,94,69,2.37,broken clouds
130,Nhulunbuy,AU,-12.2333,136.7667,74.01,88,40,0.0,scattered clouds
131,Panaba,MX,21.2833,-88.2667,82.74,77,100,11.34,light rain
132,Mandera,KE,3.9366,41.867,83.08,56,100,2.73,overcast clouds
133,Tagbac,PH,7.089,125.1567,72.05,95,100,1.54,moderate rain
134,Bambous Virieux,MU,-20.3428,57.7575,70.05,73,20,10.36,few clouds
135,Znamenskoye,RU,57.1281,73.8282,42.06,93,100,7.54,light rain
136,Mehamn,NO,71.0357,27.8492,39.15,60,75,13.8,broken clouds
137,Hermanus,ZA,-34.4187,19.2345,64.8,92,33,9.24,scattered clouds
138,Sedan,FR,49.6667,5.0,58.71,84,99,6.26,overcast clouds
139,Cherskiy,RU,68.75,161.3,4.06,88,100,5.84,overcast clouds
140,Providencia,MX,28.7167,-111.5833,93.2,33,0,3.04,clear sky
141,Touros,BR,-5.1989,-35.4608,78.03,79,58,16.51,broken clouds
142,Awjilah,LY,29.1081,21.2869,65.61,67,3,10.4,clear sky
143,Yulara,AU,-25.2406,130.9889,56.88,76,0,8.19,clear sky
144,Hasaki,JP,35.7333,140.8333,55.8,68,100,21.07,overcast clouds
145,Thinadhoo,MV,0.5333,72.9333,80.62,75,99,11.81,overcast clouds
146,Tevriz,RU,57.509,72.4042,41.97,86,100,6.29,overcast clouds
147,Ust-Nera,RU,64.5667,143.2,-5.12,100,100,1.41,overcast clouds
148,Lata,PT,40.1629,-8.3327,66.92,89,100,6.02,overcast clouds
149,Fortuna,US,40.5982,-124.1573,69.93,69,20,13.8,few clouds
150,Mahibadhoo,MV,3.7833,72.9667,81.21,75,100,16.15,overcast clouds
151,Alugan,PH,12.2188,125.4808,78.64,86,100,6.17,overcast clouds
152,Upernavik,GL,72.7868,-56.1549,29.1,73,100,16.8,overcast clouds
153,Severo-Kurilsk,RU,50.6789,156.125,40.75,68,49,33.4,light rain
154,Nanortalik,GL,60.1432,-45.2371,39.92,84,100,11.5,light rain
155,Mabaruma,GY,8.2,-59.7833,80.89,79,64,5.17,broken clouds
156,Nyagan,RU,62.1406,65.3936,39.04,96,100,8.01,light rain
157,Guerrero Negro,MX,27.9769,-114.0611,82.58,44,0,7.54,clear sky
158,Vardo,NO,70.3705,31.1107,37.38,93,100,12.66,light intensity shower rain
159,Namibe,AO,-15.1961,12.1522,67.14,76,4,8.16,clear sky
160,Inirida,CO,3.8653,-67.9239,83.98,70,86,3.09,overcast clouds
161,Puerto Leguizamo,CO,-0.1934,-74.7819,80.62,90,66,3.2,broken clouds
162,Praia Da Vitoria,PT,38.7333,-27.0667,62.55,56,99,21.54,overcast clouds
163,Zhoukou,CN,33.6333,114.6333,49.59,32,0,6.93,clear sky
164,Mahebourg,MU,-20.4081,57.7,70.09,73,20,10.36,few clouds
165,Iqaluit,CA,63.7506,-68.5145,25.7,63,75,15.01,shower snow
166,Berlevag,NO,70.8578,29.0864,39.2,81,40,23.02,scattered clouds
167,Mount Gambier,AU,-37.8333,140.7667,53.02,88,0,2.42,clear sky
168,Cidreira,BR,-30.1811,-50.2056,64.98,94,100,16.87,overcast clouds
169,Vao,NC,-22.6667,167.4833,71.69,66,100,13.31,overcast clouds
170,Ilulissat,GL,69.2167,-51.1,33.82,93,100,9.22,drizzle
171,Kathu,TH,7.9178,98.3332,81.75,90,99,11.77,moderate rain
172,Nome,US,64.5011,-165.4064,37.47,76,75,5.75,broken clouds
173,Launceston,AU,-41.45,147.1667,49.64,93,100,4.61,overcast clouds
174,Pomoryany,UA,49.6409,24.9307,53.26,77,98,7.83,overcast clouds
175,Manokwari,ID,-0.8667,134.0833,78.26,77,93,2.37,overcast clouds
176,Talnakh,RU,69.4865,88.3972,33.21,99,100,9.37,snow
177,Kazachinskoye,RU,57.6953,93.2761,35.04,99,100,1.79,overcast clouds
178,Santa Fe,AR,-31.6333,-60.7,76.01,49,97,7.0,overcast clouds
179,Ipixuna,BR,-1.7625,-48.8043,76.59,91,99,5.17,overcast clouds
180,Libreville,GA,0.3925,9.4537,77.34,87,100,8.23,moderate rain
181,Torbay,CA,47.6666,-52.7314,53.28,97,100,9.22,fog
